Sipariş No;Hata Kodu;Tutar
YS-480003;RATE_MISMATCH;6,21
YS-480005;MISSING_FROM_PAYOUT;302,54
YS-480007;UNKNOWN_DEDUCTION;16,14
YS-480015;CHARGED_ON_CANCELLED;149,54
YS-480032;RATE_MISMATCH;8,46
YS-480042;MISSING_FROM_PAYOUT;99,90
YS-480048;UNKNOWN_DEDUCTION;53,66
YS-480051;CHARGED_ON_CANCELLED;112,84
YS-480061;RATE_MISMATCH;22,75
YS-480066;CHARGED_ON_CANCELLED;88,50
YS-480079;MISSING_FROM_PAYOUT;92,27
YS-480089;UNKNOWN_DEDUCTION;16,58
YS-480090;RATE_MISMATCH;12,07
YS-480093;CHARGED_ON_CANCELLED;72,36
YS-480116;MISSING_FROM_PAYOUT;-48,85
YS-480119;RATE_MISMATCH;17,37
YS-480130;UNKNOWN_DEDUCTION;41,30
YS-480147;CHARGED_ON_CANCELLED;82,54
YS-480148;RATE_MISMATCH;12,79
YS-480153;CHARGED_ON_CANCELLED;47,78
YS-480170;PLATFORM_DISCOUNT_CHARGED;104,71
YS-480171;UNKNOWN_DEDUCTION;26,28
YS-480177;RATE_MISMATCH;17,49
YS-480190;MISSING_FROM_PAYOUT;221,03
YS-480201;CHARGED_ON_CANCELLED;169,45
YS-480206;RATE_MISMATCH;9,68
YS-480212;UNKNOWN_DEDUCTION;39,94
YS-480216;CHARGED_ON_CANCELLED;163,26
YS-999001;NOT_IN_POS;230,00
-;PERIOD_TOTAL_MISMATCH;-1850,00
